epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,86.4951,0.96931,0.74637,1.153,0.85062,1,0.995,0.68829,1.11874,0.62278,1.25706,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
31,89.1142,0.90776,0.76082,1.15611,0.8564,1,0.995,0.63604,1.12329,0.58788,1.30853,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
32,91.78,0.93244,0.79113,1.13474,0.87872,1,0.995,0.65977,1.12443,0.62745,1.36261,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
33,94.2231,0.93758,0.71224,1.16311,0.8587,1,0.995,0.66154,1.12741,0.62601,1.35789,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
34,96.7157,0.81149,0.649,1.09298,0.83,1,0.995,0.66812,1.17261,0.63765,1.41877,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
35,99.3099,0.8567,0.68467,1.12225,0.87767,1,0.995,0.64632,1.21604,0.613,1.42756,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
36,101.796,0.8599,0.66501,1.13365,0.87393,1,0.995,0.67549,1.20491,0.62938,1.44533,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
37,104.212,0.94902,0.65495,1.18561,0.88973,1,0.995,0.67529,1.17062,0.62744,1.4333,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
38,106.732,0.85821,0.64908,1.13701,0.89665,1,0.995,0.68313,1.08739,0.62204,1.40411,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041
39,109.35,0.90079,0.65587,1.17815,0.89774,1,0.995,0.66117,1.08753,0.59581,1.42636,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
40,111.783,0.89866,0.736,1.15445,0.90093,1,0.995,0.65808,1.14859,0.63474,1.47117,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043
41,114.146,0.83919,0.65389,1.13434,0.90187,1,0.995,0.67178,1.16653,0.63326,1.49099,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
42,116.553,0.8363,0.62022,1.08786,0.89376,1,0.995,0.66932,1.20132,0.63947,1.59279,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045
43,119.013,0.85726,0.68307,1.10093,0.91331,1,0.995,0.6763,1.23089,0.60949,1.56806,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
44,121.59,0.79237,0.60477,1.08033,0.90693,1,0.995,0.66098,1.22049,0.61167,1.50686,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047
